Type of Infrastructure,Project Name,County/City,State,Form of Benefit,Year Built,"Developers, Owners, and/or Operators",Number of Turbines,Generating Capacity (Megawatts),Additional Form,Details,Sources,Created at,Updated at
Land-based wind energy project,Arbor Hill 1 & 2,Adair County,Iowa,Donation/support to local cause,2020,MidAmerican Energy,142,310.0,,"- MidAmerican Energy contributed $83,000 to the Adair County Fairgrounds, which was used to establish the MidAmerican Energy Arena, a newly renovated arena for community events like animal shows. The arena opened in 2020, with funding coming from revenues from multiple MidAmerican wind projects in the county.",https://www.midamericanenergy.com/articles/midamerican-energy-arena-in-adair-county,2024-08-01 14:16:59 UTC,2024-08-01 14:16:59 UTC
Land-based wind energy project,Golden Plains,"Kossuth County, Winnebago County",Iowa,Donation/support to local cause,2020,EDF Renewables / Alliant Energy,82,200.0,,"- During the project's development, over $15,000 was donated to various charities and non-profits. This included $6,000 for a school supply drive, $1,000 for a Thanksgiving food drive, and $1,100 to support a local family who experienced the loss of a child during the holidays.",https://energycentral.com/news/wind-farm-kossuth-winnebago-counties-complete-and-operational,2024-08-01 14:16:59 UTC,2024-08-01 14:16:59 UTC
Land-based wind energy project,Great Pathfinder,"Boone County, Hamilton County",Iowa,Fund,2022,Apex Clean Energy,65,224.4,Donation/support to local cause,"- Apex Clean Energy established the Great Pathfinder Wind Community Grant Program to support educators, entrepreneurs, and changemakers in Boone and Hamilton Counties. Funds are intended to support programs which support community health, economic opportunities, environmental sustainability, and education. 

- Great Pathfinder Wind supports the Small Business Assistance Grant, which was established by the Boone County Chamber of Commerce to provide interim relief to businesses and organizations impacted by COVID-19.","https://www.greatpathfinderwind.com/grant, https://www.apexcleanenergy.com/insight/taking-care-of-our-communities-in-an-unprecedented-time/, https://www.apexcleanenergy.com/insight/taking-care-of-our-communities-in-an-unprecedented-time/",2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Ledyard,Kossuth County,Iowa,Donation/support to local cause,2022,bp / Sempra Renewables ,46,207.0,,"- The Duke Energy Foundation and Duke Energy Sustainable Solutions recently awarded a $60,000 grant to the Ledyard Fire Department in its efforts to purchase a tanker pumper truck","https://mugglehead.com/duke-energy-launches-wind-power-project-in-iowa/, https://www.prnewswire.com/news-releases/duke-energy-begins-operating-207-mw-ledyard-windpower-its-first-wind-project-in-iowa-301719011.html",2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Orient Wind Farm,Murray County,Iowa,Donation/support to local cause,2018,MidAmerican Energy,51,102.0,,"- MidAmerican contributed $83,000 to the Adair County Fairgrounds, which was used to establish the MidAmerican Energy Arena, a newly renovated arena for community events like animal shows. The arena opened in 2020, with funding coming from revenues from multiple MidAmerican wind projects in the county.",https://www.midamericanenergy.com/articles/midamerican-energy-arena-in-adair-county,2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Pioneer Prairie,"Howard County, Mitchell County",Iowa,Donation/support to local cause,2008,EDP Renewables,182,300.0,,"- In 2020, the Prairie Star, Pioneer Prairie, and Turtle Creek wind projects teamed up with their parent company, EDP Renewables, to donate $5,000 to the Mitchell County Food Bank and $8,000 to the Channel One Food Bank. Channel One used the funds for local food shelves serving Spring Valley, LeRoy, and Grand Meadow, as well as providing general support for their efforts to assist families throughout the region.",https://www.austindailyherald.com/2020/09/letter-renewables-giving-back/,2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Rippey,Greene County,Iowa,Donation/support to local cause,2012,RPMA / Greenbacker,20,50.0,,"- Rippey Wind has donated to local organizations, including $1,000 to the Greene County Animal Facility and a donation to the Friends of Rippey to support refurbishment of a baseball field.",https://greenecountynewsonline.com/2019/07/10/rippey-wind-energy-donates-to-animal-shelter/,2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Southern Hills Expansion,"Adams County, Union County",Iowa,Donation/support to local cause,2020,MidAmerican Energy,36,131.0,,"- MidAmerican contributed $83,000 to the Adair County Fairgrounds, which was used to establish the MidAmerican Energy Arena, a newly renovated arena for community events like animal shows. The arena opened in 2020, with funding coming from revenues from multiple MidAmerican wind projects in the county.",https://www.midamericanenergy.com/articles/midamerican-energy-arena-in-adair-county,2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Storm Lake,"Buena Vista County, Cherokee County",Iowa,Donation/support to local cause,1999,NRG Energy / ALLETE Clean Energy,251,185.0,Non-financial,"- Storm Lake Wind has supported community organizations and events, including the Sioux Rapids Fire Protection Agency, Cherokee Youth Summer Ball Association, National Child Safety, Alta Sire, Alta Library After School Program, Aurelia Fire Department, The Lord’s Cupboard Food Pantry, Mid Sioux, Cherry House, Peterson Fire Fundraiser, and Jump Rope for Heart.

- In 2023, ALLETE Clean Energy donated $17,000 to the Alta Firemen’s Association in Alta, IA, near the Storm Lake wind facility. The donation went toward upgrades to a brush truck, enhancing its ability to respond to off-road, wildland, and field fires.

- When repowering the Storm Lake project in 2019, ALLETE installed 39 miles of fiber-optic cable, expanding Internet access in the community.","https://alletecleanenergy.com/OurCompany/OurCulture, https://alletecleanenergy.com/Content/Documents/PressReleases/press-release-022123.pdf",2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Turtle Creek,Mitchell County,Iowa,Donation/support to local cause,2018,EDP Renewables,56,199.2,,"- In 2020, the Prairie Star, Pioneer Prairie, and Turtle Creek wind projects teamed up with their parent company, EDP Renewables, to donate $5,000 to the Mitchell County Food Bank and $8,000 to the Channel One Food Bank. Channel One used the funds for local food shelves serving Spring Valley, LeRoy, and Grand Meadow, as well as providing general support for their efforts to assist families throughout the region.",https://www.austindailyherald.com/2020/09/letter-renewables-giving-back/,2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Bloom,Ford County,Kansas,Donation/support to local cause,2017,Capital Power,54,178.0,,"- Capital Power has supported community organizations and events, including the Kansas Food Bank Warehouse, Minneola Wellness Center, Minneola After Prom, Minneola Fire Department, and Ford County Fire & EMS.",https://www.capitalpower.com/operations/bloom-wind/,2024-08-01 14:16:59 UTC,2024-08-01 14:16:59 UTC
Land-based wind energy project,Buckeye,Ellis County,Kansas,Donation/support to local cause,2015,Invenergy,112,200.0,Non-financial,"- In 2021, the Buckeye wind farm donated gardening supplies to three local high schools for their gardens and greenhouses, which are used as tools to teach students about agriculture and composting. Across the three schools, Buckeye donated a dual compost tumbler, a solar water pump, and various gardening supplies such as an expandable hose, rake, two-cycle mini cultivator, wheelbarrow, trowels and pruning shears.

- In 2018, after wildfires spread through farms in Ellis County, Invenergy and construction partner Blattner Energy transported supplies of hay to replace what farmers had lost in the fire. in total, 15 loads of hay (325 tons) were delivered.

- Invenergy provides an annual training exercise with county public safety personnel and annually donates to the fire department to help pay for personal protective equipment.",https://assets.contentstack.io/v3/assets/blt73251bb1f13bbb9d/blt2a9b746f4f2c8dbc/63f39547af8f313d2898850e/Invenergy-Impact-Report-2021.pdf,2024-08-01 14:16:59 UTC,2024-08-01 14:16:59 UTC
Land-based wind energy project,"Cimarron Bend I, II, & III",Clark County,Kansas,Donation/support to local cause,"2016, 2017, 2020",Enel Green Power,274,599.0,,"- Since 2021, Enel has invested over $135,000 in local programs in the city of Minneola, including $35,000 donated to first responders, $10,000 to support sustainable health and safety, and $80,000 for education initiatives such as scholarships, KidWind Challenges, and technology for students. 

- Following wildfires in Clark County in 2017, Enel partnered with the Ashland Community Foundation and the Kansas Livestock Association to help provide immediate relief.","https://www.enelgreenpower.com/media/news/2017/3/kansas-is-now-home-to-the-largest-enel-wind-project-in-the-world, https://www.enelgreenpower.com/our-projects/operating/cimarron-bend-wind-project, https://www.enel.com/media/explore/search-press-releases/press/2020/12/enel-green-power-brings-online-two-new-us-wind-farms-including-its-largest-renewable-plant-in-operation-worldwide-",2024-08-01 14:16:59 UTC,2024-08-01 14:16:59 UTC
Land-based wind energy project,Diamond Vista,Marion County,Kansas,Fund,2018,Enel Green Power,95,299.0,Donation/support to local cause,"- During the wind project's construction, Enel Green Power supported construction of a new library and an educational space that provides renewable energy education. 

-  Enel has partnered with Cloud County Community College Wind Tech program to provide students with scholarships in STEM (Science, Technology, Engineering and Math) programs

- Enel has partnered with the local non-profit grocery store, Tampa Trails Stop, on local food programs.

- Enel has worked with the Tampa School District to improve their math, science, engineering and technical skills courses. ","https://www.enelgreenpower.com/stories/articles/2019/01/diamond-vista-wind-farm-sustainable-future-in-kansas, https://www.enelgreenpower.com/our-projects/operating/diamond-vista-wind-farm",2024-08-01 14:16:59 UTC,2024-08-01 14:16:59 UTC
Land-based wind energy project,East Fork,Thomas County,Kansas,Fund,2020,ENGIE,72,195.8,Donation/support to local cause,"- East Fork has established a scholarship fund with Colby Community College.

- East Fork has formed donation agreements with schools in the project area.","https://www.windpowerengineering.com/engie-north-america-begins-east-fork-wind-project-in-kansas/, https://www.engie-na.com/wind/east_fork_wind/",2024-08-01 14:16:59 UTC,2024-08-01 14:16:59 UTC
Land-based wind energy project,Flat Ridge III,Kingman County,Kansas,Donation/support to local cause,2021,AEP / Apex Clean Energy,62,128.0,,"- In April 2020, AEP Renewables donated $10,000 to BrightHouse, an organization providing support to victims of sexual assault and domestic violence in Hutchinson, Kansas.

- In December 2020, AEP Renewables donated $1,000 to Pratt Toys for Tots and $1,000 to Kansas Food Bank. is helping to make the holidays a little brighter for families in Kingman County, Kansas.","https://www.aep.com/news/stories/read/5594/AEP-Renewables-Gives-Back-to-Communities-During-the-Pandemic, https://www.aep.com/news/stories/read/5909/AEP-Renewables-and-Flat-Ridge-III-Wind-Supports-Local-Community",2024-08-01 14:16:59 UTC,2024-08-01 14:16:59 UTC
